,train_loss,test_loss_mae,learning_rate
0,1.2383972995286936,None,0.001
1,1.1449468416326187,1.6450359464630366,0.001
2,1.129996820529672,1.9107676547343337,0.001
3,1.1291925590572043,1.932627351265254,0.001
4,1.1254779920034508,2.05799197274556,0.001
5,1.1139648270583453,2.3165559571559036,0.001
6,1.1045790346204554,1.9019285872226626,0.001
7,1.1105279052252492,None,0.001
8,1.1070375753266297,None,0.001
9,1.0952850697087306,2.2142045297647712,0.001
10,1.0959754412593619,None,0.001
11,1.0936017174245878,1.9133799611114142,0.001
12,1.08972459568226,2.002291587081168,0.001
13,1.0854347228566688,2.1105427957895233,0.001
14,1.0821108027025144,2.1132309299128575,0.001
15,1.0835623808077957,None,0.001
16,1.0818220496698971,1.9033239679386609,0.001
17,1.0746767481554882,2.131754292277839,0.001
18,1.0757153257612013,None,0.001
19,1.0751975466357853,2.1757604781724025,0.001
20,1.079231318742739,None,0.001
21,1.0645445284579096,1.9905711578259004,0.001
22,1.071069857199415,None,0.001
23,1.0719941314680315,None,0.001
24,1.0778117405374426,None,0.001
25,1.0729754021632216,None,0.001
26,1.0704692126346216,None,0.001
27,1.0700125372751188,None,0.001
28,1.0542843893479352,2.0336231531433544,0.0005
29,1.0541253621629674,2.1998942442766323,0.0005
30,1.0541083990123414,1.981743232158851,0.0005
31,1.0466122157164397,2.0372448774773306,0.0005
32,1.0531779429710437,None,0.0005
33,1.0500045450101334,None,0.0005
34,1.049252505126869,None,0.0005
35,1.049540165542194,None,0.0005
36,1.0492438740732977,None,0.0005
37,1.0480862180240602,None,0.0005
38,1.0344472910322344,2.194179059013607,0.00025
39,1.0371675541108645,2.0762682208238936,0.00025
40,1.0462234620904027,None,0.00025
41,1.0381660698028221,None,0.00025
42,1.035899599267088,None,0.00025
43,1.0356409230879995,None,0.00025
44,1.0330858335859567,2.1065239496431327,0.00025
45,1.0375543660413968,None,0.00025
46,1.0351746955313421,None,0.00025
47,1.0378281477560765,None,0.00025
48,1.035424470497903,None,0.00025
49,1.0369792218890375,2.087594259755192,0.00025
50,1.0305317541930417,2.097239325052797,0.00025
51,1.0372691512494618,None,0.00025
52,1.0325563259665562,None,0.00025
53,1.024138372965837,2.0983696766099906,0.00025
54,1.0337599963475255,None,0.00025
55,1.0320886301378855,None,0.00025
56,1.0278880768946252,None,0.00025
57,1.0312542606264432,None,0.00025
