split_type,fold,train_loss,test_loss
split_by_vacancies,0,0.5379404251459362,0.5766656883212572
split_by_vacancies,1,0.5975415883092343,0.6405769520900289
split_by_vacancies,2,0.5719704864491726,0.570479813412566
split_by_vacancies,3,0.564451673837392,0.6180682375624373
split_by_vacancies,4,0.5501919598384047,0.5533461801957764
split_by_compounds,0,0.5152906945310293,0.6293857593392154
split_by_compounds,1,0.5491831098103531,0.649483303687191
split_by_compounds,2,0.5092256047637076,0.49403272167328866
split_by_compounds,3,0.5969190573866611,0.744133445065597
split_by_compounds,4,0.5373306610668248,0.551088547739444
