0,1,2
0171017-O7,1.6966,Co5O15Sr6
0171017-O4,2.9466,Co5O15Sr6
0171017-O5,3.075,Co5O15Sr6
0171017-O2,2.8073,Co5O15Sr6
0171017-O15,0.6908,Co5O15Sr6
0171017-O10,1.101,Co5O15Sr6
0171017-O3,2.8191,Co5O15Sr6
0171017-O6,2.9496,Co5O15Sr6
0171017-O14,1.124,Co5O15Sr6
0171017-O11,1.1027,Co5O15Sr6
0171017-O12,1.112,Co5O15Sr6
0136293-O4,3.1962,Co1O3Sr1
0136293-O10,0.2988,Co1O3Sr1
0136293-O6,2.38,Co1O3Sr1
0136293-O3,2.7913,Co1O3Sr1
0136293-O5,2.8475,Co1O3Sr1
0136293-O8,2.3349,Co1O3Sr1
0136293-O2,2.8649,Co1O3Sr1
0136293-O11,0.3353,Co1O3Sr1
0136293-O7,2.4032,Co1O3Sr1
0136293-O1,2.4789,Co1O3Sr1
0136293-O9,0.2835,Co1O3Sr1
0136293-O12,0.3052,Co1O3Sr1
0289618-O1,2.6893,Ba1Mn1O3
0185165-O3,5.001,Ba2Mn1O3
0185165-O2,5.4336,Ba2Mn1O3
0185165-O4,5.22,Ba2Mn1O3
0185165-O1,5.6729,Ba2Mn1O3
0184694-O2,3.2502,Ba3Mn2O8
0184694-O1,3.2896,Ba3Mn2O8
0185492-O3,2.5039,Ba4Mn3O10
0185492-O2,2.4692,Ba4Mn3O10
0185492-O4,2.2385,Ba4Mn3O10
0185492-O1,3.0032,Ba4Mn3O10
0135701-O6,2.4041,Ba6Mn5O16
0135701-O3,3.0089,Ba6Mn5O16
0135701-O5,2.811,Ba6Mn5O16
0135701-O2,2.4483,Ba6Mn5O16
0135701-O4,2.7863,Ba6Mn5O16
0135701-O1,2.1993,Ba6Mn5O16
0134600-O2,5.4596,Ba1Mn2O3
0134600-O1,4.7909,Ba1Mn2O3
0185408-O2,1.712,Ba1Mn2O8
0185408-O1,0.6038,Ba1Mn2O8
0117270-O4,1.5668,Ba1Mn3O6
0117270-O2,1.7261,Ba1Mn3O6
0117270-O12,1.4482,Ba1Mn3O6
0117270-O9,2.5242,Ba1Mn3O6
0117270-O1,1.8772,Ba1Mn3O6
0117270-O7,2.3331,Ba1Mn3O6
0117270-O11,1.2961,Ba1Mn3O6
0117270-O8,2.3141,Ba1Mn3O6
0117270-O10,2.3704,Ba1Mn3O6
0117270-O5,1.4805,Ba1Mn3O6
0117270-O3,1.5426,Ba1Mn3O6
0117270-O6,0.285,Ba1Mn3O6
