,train_loss,test_loss_mae,learning_rate
0,1.2195795852768938,None,0.001
1,1.159804356094912,1.4090108665419214,0.001
2,1.1499215853153901,1.3597048903688973,0.001
3,1.1482715501951033,1.564222401306953,0.001
4,1.141273658979081,1.508596709480992,0.001
5,1.1381232669648123,1.490357025170032,0.001
6,1.1352898919078251,1.5213253498077393,0.001
7,1.130105875325428,1.4267113208770752,0.001
8,1.123288958200241,1.5120321585808272,0.001
9,1.1164883514982218,1.6230310363534055,0.001
10,1.1162431141298121,1.5686358390031037,0.001
11,1.1145060287873396,1.5926194507398723,0.001
12,1.117070512527217,None,0.001
13,1.113414792155084,1.5594537559850716,0.001
14,1.1133383984472416,1.7249251493701228,0.001
15,1.1073954457278714,1.6626529848134075,0.001
16,1.1086137403831022,None,0.001
17,1.1101070529086263,None,0.001
18,1.1063125931288356,1.5736467352619878,0.001
19,1.1074684706190403,1.4929233303776495,0.001
20,1.1070439011792534,None,0.001
21,1.0996094608952935,1.743226999853864,0.001
22,1.1021687207901316,None,0.001
23,1.1019464539930142,None,0.001
24,1.099139997011923,1.590018061943996,0.001
25,1.0982091761049761,1.6476346879829595,0.001
26,1.0957740966102665,1.7990666480711948,0.001
27,1.0949416223557065,1.6669793872185696,0.001
28,1.091453888877335,1.5409010302873305,0.001
29,1.0962115433288857,1.5504123752499803,0.001
30,1.0937004923673666,None,0.001
31,1.0914483545040878,1.634643135983267,0.001
32,1.0945432989529127,None,0.001
33,1.0872654973179923,1.63587948716717,0.001
34,1.0858011236102045,1.5513570455857266,0.001
35,1.086740035706968,None,0.001
36,1.0822449084817425,1.585111928574833,0.001
37,1.0853687420301827,None,0.001
38,1.0793441936763217,1.5644657736943093,0.001
39,1.0871010013052127,1.6198801126009152,0.001
40,1.0771793901341158,1.5852400829762587,0.001
41,1.0830198480702138,None,0.001
42,1.0826940244634484,None,0.001
43,1.0776834802130302,None,0.001
44,1.0834259570289346,None,0.001
45,1.080235849665734,None,0.001
46,1.0783974619347012,None,0.001
47,1.0672498320495607,1.548926012015637,0.0005
48,1.0648264318594483,1.5547941231433255,0.0005
49,1.0589031118186338,1.5927197292998985,0.0005
50,1.0659616025802259,None,0.0005
51,1.058750746440052,1.5741813197548007,0.0005
52,1.0621815978526352,None,0.0005
53,1.0591856257132732,None,0.0005
54,1.0589045879288446,None,0.0005
55,1.0574144740934752,1.6150288486186368,0.0005
56,1.0570857945864809,1.6148195678805128,0.0005
57,1.0560067661307457,1.5850637209268263,0.0005
58,1.0551748254548121,1.6218623445357805,0.0005
59,1.055836351010482,1.614667652565756,0.0005
60,1.057379179440038,None,0.0005
61,1.0579794101632212,None,0.0005
62,1.0572586285606265,None,0.0005
63,1.052379170749033,1.5514348804214855,0.0005
64,1.0559954527172586,None,0.0005
65,1.0563564119936748,None,0.0005
66,1.0553867659817417,None,0.0005
67,1.0560699459529859,None,0.0005
68,1.0524530412561186,None,0.0005
69,1.0525561270854762,1.670256914915862,0.0005
70,1.0442777571982262,1.5777700984919514,0.00025
71,1.0432293297442787,1.6178347431583169,0.00025
72,1.042416332153708,1.6007908980051677,0.00025
73,1.0411012007271,1.60178193707525,0.00025
74,1.038642768969496,1.643468701545103,0.00025
75,1.038684052711018,None,0.00025
76,1.0388868439372105,None,0.00025
77,1.0457118383360346,None,0.00025
78,1.0406906908133033,None,0.00025
79,1.0375958014826645,1.6135054657488694,0.00025
80,1.0375291211702633,1.59274849921097,0.00025
81,1.0374476467598899,1.6168023082945082,0.00025
82,1.039929102265559,None,0.00025
83,1.040211132462837,None,0.00025
84,1.039903819291817,None,0.00025
85,1.0399897156375792,None,0.00025
86,1.029795912763432,1.6294592258370952,0.000125
87,1.0314213652706707,None,0.000125
88,1.0317175998739299,None,0.000125
89,1.0280446508147085,1.641351869812718,0.000125
90,1.0234148676506027,1.6397042738066778,0.000125
91,1.0283225050242701,None,0.000125
92,1.0262872411204018,None,0.000125
93,1.0271231763842854,None,0.000125
94,1.0285031337475048,None,0.000125
95,1.0345632580149855,None,0.000125
96,1.0336985948214017,None,0.000125
97,1.0257032069948477,None,0.0001
98,1.0254242770466608,None,0.0001
99,1.0285888854987777,1.6207570521919816,0.0001
100,1.0301220381946754,None,0.0001
