split_type,fold,train_loss,test_loss
split_by_vacancies,0,0.305839523056732,0.47129014170800654
split_by_vacancies,1,0.32483408738826886,0.46317815983881716
split_by_vacancies,2,0.3163851929414049,0.4021759820127297
split_by_vacancies,3,0.3157418870103839,0.4740515585686709
split_by_vacancies,4,0.31838645601152976,0.42421579848999946
split_by_compounds,0,0.3137366980547323,0.5238281972917582
split_by_compounds,1,0.325086443461342,0.5288485740965517
split_by_compounds,2,0.32624759979646756,0.4571415553169866
split_by_compounds,3,0.3144436635573375,0.48428752627866023
split_by_compounds,4,0.32781748753938617,0.5058840337945738
