,train_loss,test_loss_mae,learning_rate
0,1.2542625247354444,None,0.001
1,1.1687957074142261,1.1396541932439492,0.001
2,1.1659720309033064,1.1523953426897136,0.001
3,1.1551666748388127,1.3280642644252652,0.001
4,1.1521592652981953,1.3692375988352532,0.001
5,1.1506356536977038,1.1356594461241578,0.001
6,1.1473614951809143,1.2708467108751433,0.001
7,1.143657500227953,1.1185298410116458,0.001
8,1.1373170799887817,1.2291194742021998,0.001
9,1.135928896659663,1.2224734826804766,0.001
10,1.1378359564037634,None,0.001
11,1.1387165374695367,None,0.001
12,1.131227072194701,1.1918543912226858,0.001
13,1.1301572098437187,1.1055991104225706,0.001
14,1.1281223485458693,1.1313698032712625,0.001
15,1.1228755360860871,1.2572918438833522,0.001
16,1.1229122150618747,None,0.001
17,1.1188433782530791,1.1276146804585176,0.001
18,1.1152138386533363,1.210241668364581,0.001
19,1.1131481406778383,1.15885997987261,0.001
20,1.114385516320557,None,0.001
21,1.111368988077576,1.2382698861602086,0.001
22,1.1081492213543735,1.3569198646187004,0.001
23,1.109613122181143,None,0.001
24,1.1021817859145981,1.2288436628634634,0.001
25,1.105378908104923,None,0.001
26,1.106752811845519,None,0.001
27,1.1063567263265155,None,0.001
28,1.1031038754794298,None,0.001
29,1.1004900789340823,1.259189704080033,0.001
30,1.0976530497138095,1.3415639819272982,0.001
31,1.0977681631699843,None,0.001
32,1.098462422045649,None,0.001
33,1.0896154236223372,1.2213073945512958,0.001
34,1.0892197924388258,1.3751058675884422,0.001
35,1.0956672812019224,None,0.001
36,1.0906583431442196,None,0.001
37,1.0913665984385421,None,0.001
38,1.0885043187856187,1.2358224290648316,0.001
39,1.0889342054138034,1.1637907172340194,0.001
40,1.0869807572989187,1.3077471873729059,0.001
41,1.083399231508961,1.3178374445905872,0.001
42,1.0815935595089787,1.2370421861121856,0.001
43,1.077871323335828,1.2993066536834816,0.001
44,1.0810706897131657,None,0.001
45,1.0816377173901717,None,0.001
46,1.0799422040907625,None,0.001
47,1.0816602494494842,None,0.001
48,1.080423394943264,None,0.001
49,1.0814538052510367,1.3095613055759006,0.001
50,1.061717904041654,1.2007379555234723,0.0005
51,1.0567965695412314,1.2043443559821134,0.0005
52,1.0561819892994826,1.2596464803795409,0.0005
53,1.0588068436971383,None,0.0005
54,1.0504643262545128,1.2897725222157497,0.0005
55,1.0581586426984955,None,0.0005
56,1.0596666872397078,None,0.0005
57,1.0587475711105516,None,0.0005
58,1.0519264532825139,None,0.0005
59,1.0564387028889672,1.209820150549895,0.0005
60,1.0520299219396796,None,0.0005
61,1.0411281653658995,1.2067926060530096,0.00025
62,1.0449286656620969,None,0.00025
63,1.0447537805325577,None,0.00025
64,1.040240620569016,1.217073108246124,0.00025
65,1.0394328309499548,1.2829376437695197,0.00025
66,1.0409804901130417,None,0.00025
67,1.0397766930659265,None,0.00025
68,1.034875260658951,1.2867503403838163,0.00025
69,1.037261909448082,1.217150930875267,0.00025
70,1.038980457856795,None,0.00025
71,1.03481249411727,1.214192370768466,0.00025
72,1.0363827029394665,None,0.00025
73,1.0364602689546272,None,0.00025
74,1.0365869566802555,None,0.00025
75,1.0306894297622737,1.2018340307902666,0.000125
76,1.0272430724706898,1.1885605458340613,0.000125
77,1.0267785087588508,1.1941141225154104,0.000125
78,1.0271189047665177,None,0.000125
79,1.0289669358441766,1.2164923505845413,0.000125
80,1.028850792925919,None,0.000125
81,1.033791772988629,None,0.000125
82,1.0278857814810234,None,0.000125
83,1.0224311021942896,1.23020504619561,0.0001
84,1.0282965447437524,None,0.0001
85,1.0239029797356272,None,0.0001
86,1.0274813776375706,None,0.0001
87,1.0256331570470392,None,0.0001
88,1.0261047981977116,None,0.0001
89,1.0261973627769903,1.185486540100933,0.0001
90,1.0229635649396296,None,0.0001
91,1.0239845710372257,None,0.0001
92,1.023374203352443,None,0.0001
93,1.0236088461971866,None,0.0001
94,1.0272026516216841,None,0.0001
95,1.0198617174973743,1.2060651362331865,0.0001
96,1.022886367798825,None,0.0001
97,1.0212944741584915,None,0.0001
98,1.0222233454073508,None,0.0001
99,1.0174102482572525,1.2062956971280716,0.0001
100,1.0166987438927102,1.255350050388598,0.0001
101,1.0215948649157098,None,0.0001
102,1.024400144511251,None,0.0001
103,1.023106924383381,None,0.0001
104,1.019461156484788,None,0.0001
105,1.0211071728895202,None,0.0001
106,1.0154372482718375,1.2095975521343205,0.0001
107,1.0286928258942738,None,0.0001
108,1.0179040016186554,None,0.0001
109,1.0211768626610507,1.22952202235172,0.0001
110,1.025427522265414,None,0.0001
111,1.0172336898781045,None,0.0001
112,1.026675139816484,None,0.0001
113,1.0123154775294663,1.2040414256987229,0.0001
114,1.0118551907420472,1.1935722927252452,0.0001
