元素序号,元素符号,周期,族,是否镧系,是否锕系,电负性,范德华半径(Å),原子半径-计算值(Å),原子半径-传统方法测量值(Å),电子结构,电子层,价壳层电子轨道角动量L,价电子数,原子轨道能量(eV),第一电离能(eV),第二电离能(eV),平均阳离子半径(Å),平均阴离子半径(Å),电子亲和力,是否为过渡态金属,共价半径-单键(pm),共价半径-双键(pm),共价半径-三键(pm)
96,Cm,7,3,0,1,1.3,2.45,nan,nan,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 10), (6, 's', 2), (6, 'p', 6), (5, 'f', 7), (6, 'd', 1), (7, 's', 2)]",f,nan,nan,-,5.99141,12.4,1.05,nan,0.28,False,166,136,nan
97,Bk,7,3,0,1,1.3,2.44,nan,nan,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 10), (6, 's', 2), (6, 'p', 6), (5, 'f', 9), (7, 's', 2)]",f,3,9,-,6.19785,11.9,1.0350000000000001,nan,-1.72,False,166,139,nan
98,Cf,7,3,0,1,1.3,2.45,nan,nan,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 10), (6, 's', 2), (6, 'p', 6), (5, 'f', 10), (7, 's', 2)]",f,3,10,-,6.28166,12.0,1.0255,nan,-1.01,False,168,140,nan
99,Es,7,3,0,1,1.3,2.45,nan,nan,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 10), (6, 's', 2), (6, 'p', 6), (5, 'f', 11), (7, 's', 2)]",f,3,11,-,6.36758,12.2,nan,nan,-0.3,False,165,140,nan
100,Fm,7,3,0,1,1.3,2.45,nan,nan,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 10), (6, 's', 2), (6, 'p', 6), (5, 'f', 12), (7, 's', 2)]",f,3,12,-,6.5,12.4,nan,nan,0.35,False,167,nan,nan
101,Md,7,3,0,1,1.3,2.46,nan,nan,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 10), (6, 's', 2), (6, 'p', 6), (5, 'f', 13), (7, 's', 2)]",f,3,13,-,6.58,12.4,nan,nan,0.98,False,173,139,nan
102,No,7,3,0,1,1.3,2.46,nan,nan,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 10), (6, 's', 2), (6, 'p', 6), (5, 'f', 14), (7, 's', 2)]",f,0,2,-,6.62621,12.93,nan,nan,-2.33,False,176,159,nan
103,Lr,7,3,0,1,1.3,nan,nan,nan,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 10), (6, 's', 2), (6, 'p', 6), (5, 'f', 14), (7, 's', 2), (7, 'p', 1)]",d,1,1,-,4.96,14.54,nan,nan,-0.31,False,161,141,nan
104,Rf,7,4,0,0,nan,nan,nan,nan,-,d,nan,nan,-,6.02,14.35,nan,nan,nan,True,157,140,131
105,Db,7,5,0,0,nan,nan,nan,nan,-,d,nan,nan,-,6.8,14.0,nan,nan,nan,True,149,136,126
106,Sg,7,6,0,0,nan,nan,nan,nan,-,d,nan,nan,-,7.8,17.1,nan,nan,nan,True,143,128,121
107,Bh,7,7,0,0,nan,nan,nan,nan,-,d,nan,nan,-,7.7,17.5,nan,nan,nan,True,141,128,119
108,Hs,7,8,0,0,nan,nan,nan,nan,-,d,nan,nan,-,7.6,18.2,nan,nan,nan,True,134,125,118
109,Mt,7,9,0,0,nan,nan,nan,nan,-,d,nan,nan,-,50.0,nan,nan,nan,nan,True,129,125,113
110,Ds,7,10,0,0,nan,nan,nan,nan,-,d,nan,nan,-,65.0,nan,nan,nan,nan,True,128,116,112
111,Rg,7,11,0,0,nan,nan,nan,nan,-,d,nan,nan,-,nan,nan,nan,nan,1.565,True,121,116,118
112,Cn,7,12,0,0,nan,nan,nan,nan,-,d,nan,nan,-,nan,nan,nan,nan,nan,True,122,137,130
113,Nh,7,13,0,0,nan,nan,nan,nan,-,p,nan,nan,-,nan,nan,nan,nan,0.69,False,136,nan,nan
114,Fl,7,14,0,0,nan,nan,nan,nan,-,p,nan,nan,-,nan,nan,nan,nan,nan,False,143,nan,nan
115,Mc,7,15,0,0,nan,nan,nan,nan,-,p,nan,nan,-,nan,nan,nan,nan,0.366,False,162,nan,nan
116,Lv,7,16,0,0,nan,nan,nan,nan,-,p,nan,nan,-,nan,nan,nan,nan,0.776,False,175,nan,nan
117,Ts,7,17,0,0,nan,nan,nan,nan,-,p,nan,nan,-,nan,nan,nan,nan,1.719,False,165,nan,nan
118,Og,7,18,0,0,nan,nan,nan,nan,-,p,nan,nan,-,nan,nan,nan,nan,0.0561,False,157,nan,nan
