元素序号,元素符号,周期,族,是否镧系,是否锕系,电负性,范德华半径(Å),原子半径-计算值(Å),原子半径-传统方法测量值(Å),电子结构,电子层,价壳层电子轨道角动量L,价电子数,原子轨道能量(eV),第一电离能(eV),第二电离能(eV),平均阳离子半径(Å),平均阴离子半径(Å),电子亲和力,是否为过渡态金属,共价半径-单键(pm),共价半径-双键(pm),共价半径-三键(pm)
71,Lu,6,3,1,0,1.27,2.24,2.17,1.75,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 1), (6, 's', 2)]",d,2,1,"{'1s': -2146.885351, '2p': -334.330902, '2s': -349.390492, '3d': -58.592982, '3p': -71.538779, '3s': -78.462398, '4d': -7.113364, '4f': -0.568096, '4p': -12.250904, '4s': -15.08337, '5d': -0.103686, '5p': -1.111991, '5s': -1.872086, '6s': -0.155112}",5.425871,14.13,1.001,nan,0.23887,False,162,131,131
72,Hf,6,4,0,0,1.3,2.23,2.08,1.55,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 2), (6, 's', 2)]",d,2,2,"{'1s': -2210.65199, '2p': -345.687023, '2s': -361.006527, '3d': -61.231443, '3p': -74.452656, '3s': -81.522812, '4d': -7.676638, '4f': -0.871574, '4p': -12.971211, '4s': -15.883625, '5d': -0.143805, '5p': -1.246441, '5s': -2.049828, '6s': -0.166465}",6.82507,14.61,0.85,nan,0.17807,True,152,128,121
73,Ta,6,5,0,0,1.5,2.22,2.0,1.45,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 3), (6, 's', 2)]",d,2,3,"{'1s': -2275.371387, '2p': -357.248334, '2s': -372.828724, '3d': -63.942521, '3p': -77.440942, '3s': -84.658467, '4d': -8.265848, '4f': -1.199347, '4p': -13.71981, '4s': -16.713337, '5d': -0.182464, '5p': -1.37653, '5s': -2.223807, '6s': -0.174814}",7.549571,16.2,0.82,nan,0.32312,True,146,126,119
74,W,6,6,0,0,2.36,2.18,1.93,1.35,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 4), (6, 's', 2)]",d,2,4,"{'1s': -2341.042887, '2p': -369.013973, '2s': -384.856157, '3d': -66.724787, '3p': -80.502102, '3s': -87.867792, '4d': -8.879693, '4f': -1.550835, '4p': -14.495102, '4s': -17.570797, '5d': -0.220603, '5p': -1.504457, '5s': -2.396018, '6s': -0.181413}",7.86403,16.37,0.7666666666666666,nan,0.816268,True,137,120,115
75,Re,6,7,0,0,1.9,2.16,1.88,1.35,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 5), (6, 's', 2)]",d,2,5,"{'1s': -2407.665572, '2p': -380.982869, '2s': -397.087707, '3d': -69.57676, '3p': -83.634578, '3s': -91.149193, '4d': -9.516816, '4f': -1.92508, '4p': -15.295495, '4s': -18.454325, '5d': -0.258639, '5p': -1.631227, '5s': -2.567348, '6s': -0.186859}",7.83352,16.6,0.7124999999999999,nan,0.06039663,True,131,119,110
76,Os,6,8,0,0,2.2,2.16,1.85,1.3,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 6), (6, 's', 2)]",d,2,6,"{'1s': -2475.238617, '2p': -393.15408, '2s': -409.522396, '3d': -72.497183, '3p': -86.837047, '3s': -94.501324, '4d': -10.176082, '4f': -2.321175, '4p': -16.119671, '4s': -19.362527, '5d': -0.296791, '5p': -1.757404, '5s': -2.738293, '6s': -0.191489}",8.43823,17.0,0.673,nan,1.0778013,True,129,116,109
77,Ir,6,9,0,0,2.2,2.13,1.8,1.35,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 7), (6, 's', 2)]",d,2,7,"{'1s': -2543.761342, '2p': -405.526834, '2s': -422.159424, '3d': -75.485027, '3p': -90.108427, '3s': -97.923081, '4d': -10.856593, '4f': -2.738339, '4p': -16.966578, '4s': -20.29429, '5d': -0.335189, '5p': -1.883349, '5s': -2.909174, '6s': -0.195511}",8.96702,17.0,0.765,nan,1.5643615,True,122,115,107
78,Pt,6,10,0,0,2.28,2.13,1.77,1.35,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 9), (6, 's', 1)]",d,nan,nan,"{'1s': -2613.096532, '2p': -417.96053, '2s': -434.858003, '3d': -78.400271, '3p': -93.309108, '3s': -101.274869, '4d': -11.419476, '4f': -3.038049, '4p': -17.697297, '4s': -21.110651, '5d': -0.273634, '5p': -1.884256, '5s': -2.950526, '6s': -0.161308}",8.95883,18.56,0.805,nan,2.125105,True,123,112,110
79,Au,6,11,0,0,2.54,2.14,1.74,1.35,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 10), (6, 's', 1)]",d,0,1,"{'1s': -2683.508245, '2p': -430.725701, '2s': -447.888973, '3d': -81.511751, '3p': -96.707, '3s': -104.824516, '4d': -12.131815, '4f': -3.486824, '4p': -18.578652, '4s': -22.078357, '5d': -0.304738, '5p': -2.002495, '5s': -3.113936, '6s': -0.162334}",9.225554,20.203,1.07,nan,2.30861025,True,124,121,123
80,Hg,6,12,0,0,2.0,2.23,1.71,1.5,"[(1, 's', 2), (2, 's', 2), (2, 'p', 6), (3, 's', 2), (3, 'p', 6), (3, 'd', 10), (4, 's', 2), (4, 'p', 6), (4, 'd', 10), (5, 's', 2), (5, 'p', 6), (4, 'f', 14), (5, 'd', 10), (6, 's', 2)]",d,0,2,"{'1s': -2755.022637, '2p': -443.848676, '2s': -461.27864, '3d': -84.845492, '3p': -100.328031, '3s': -108.597921, '4d': -13.019221, '4f': -4.110291, '4p': -19.636187, '4s': -23.222921, '5d': -0.452552, '5p': -2.261975, '5s': -3.423486, '6s': -0.205137}",10.437504,18.75688,1.245,nan,-0.52,True,133,142,nan
