,train_loss,test_loss_mae,learning_rate
0,1.2521785274218418,None,0.001
1,1.1884905380787356,1.3536652401089668,0.001
2,1.1665858142767138,1.7203999012708664,0.001
3,1.1626383955216264,1.4132956750690937,0.001
4,1.1609877229783279,1.4422796294093132,0.001
5,1.1548161014683096,1.594366915524006,0.001
6,1.1541679978934114,1.7495049871504307,0.001
7,1.1487668000951479,1.3716366365551949,0.001
8,1.1437021756961006,0.984021358191967,0.001
9,1.144216763739808,1.6685981005430222,0.001
10,1.1399633039017933,1.574684027582407,0.001
11,1.138709093307338,1.7521728463470936,0.001
12,1.1387654288405908,None,0.001
13,1.1357898951623184,1.4567726105451584,0.001
14,1.1377352334775288,None,0.001
15,1.1379851798444565,None,0.001
16,1.1357841482362097,1.9460456669330597,0.001
17,1.1365022707516723,None,0.001
18,1.1341170837233632,1.4542493410408497,0.001
19,1.1295836422750871,1.7769183069467545,0.001
20,1.133618413572936,None,0.001
21,1.1324141154814056,None,0.001
22,1.1292873378785215,1.2304932735860348,0.001
23,1.1258184498101775,1.097617045044899,0.001
24,1.1257344186748708,1.8030323721468449,0.001
25,1.1266359060942361,None,0.001
26,1.1279851902022224,None,0.001
27,1.1234030599532943,1.238968100398779,0.001
28,1.1224192251634308,1.825089056044817,0.001
29,1.1284178819147659,0.7727537266910076,0.001
30,1.1257642858017143,None,0.001
31,1.1226985116974073,None,0.001
32,1.1219016593666515,1.261078581213951,0.001
33,1.126669078489802,None,0.001
34,1.1176389337068953,1.2119942680001259,0.001
35,1.1195351865950023,None,0.001
36,1.1194202941466955,None,0.001
37,1.1253585652754485,None,0.001
38,1.1208475406953888,None,0.001
39,1.1195037183449286,1.2858192175626755,0.001
40,1.1166498213342362,1.5423504412174225,0.001
41,1.1108755016632776,1.0854283943772316,0.0005
42,1.1043135838280007,1.648888699710369,0.0005
43,1.1066457086282353,None,0.0005
44,1.1021922441127734,1.6360765099525452,0.0005
45,1.1056852088837428,None,0.0005
46,1.0972077807407778,1.6870342828333378,0.0005
47,1.0982833352143664,None,0.0005
48,1.0990855114271638,None,0.0005
49,1.0965133749738405,1.1837708167731762,0.0005
50,1.1001555368757023,None,0.0005
51,1.0967645460813935,None,0.0005
52,1.0950488189279348,1.082591250538826,0.0005
53,1.0937798571457822,1.8282741717994213,0.0005
54,1.0888490922381795,1.3227097056806087,0.0005
55,1.0932841446897132,None,0.0005
56,1.095108377233218,None,0.0005
57,1.0907625814936275,None,0.0005
58,1.092119309340354,None,0.0005
59,1.0902266989037606,1.6964221335947514,0.0005
60,1.0887130257086848,1.6495403461158276,0.0005
61,1.0842181048547794,1.3594646602869034,0.00025
62,1.0861588314608253,None,0.00025
63,1.0792136774925989,1.6730367913842201,0.00025
64,1.0766636879197815,1.6012466363608837,0.00025
65,1.079168681370737,None,0.00025
66,1.0828129578650922,None,0.00025
67,1.0793511064047752,None,0.00025
68,1.0821460396353253,None,0.00025
69,1.075069346667785,1.12793680280447,0.00025
70,1.077195159033454,None,0.00025
71,1.0791888855986302,None,0.00025
72,1.0793803188303368,None,0.00025
73,1.0776455684258759,None,0.00025
74,1.0773728830278282,None,0.00025
75,1.079088406012237,None,0.00025
76,1.0725010384747018,1.6680571399629116,0.000125
77,1.073978197751699,None,0.000125
78,1.0725752849421093,None,0.000125
79,1.0697760370677585,1.540650699287653,0.000125
80,1.0676139241291975,1.564258448779583,0.000125
81,1.0706247870862524,None,0.000125
82,1.0731441296410673,None,0.000125
83,1.0655201102655374,1.5882341787219048,0.000125
84,1.0718971400949941,None,0.000125
85,1.0710301000149487,None,0.000125
86,1.0647172361511705,1.6590802408754826,0.000125
87,1.0717444002185619,None,0.000125
88,1.0658166262284072,None,0.000125
89,1.0676904020882554,1.6918748244643211,0.000125
90,1.06129235960518,1.6443187147378922,0.0001
91,1.0699496983918364,None,0.0001
92,1.0709376508122277,None,0.0001
93,1.0701002265938546,None,0.0001
94,1.0646200577927796,None,0.0001
95,1.064125184325412,None,0.0001
96,1.06979952991049,None,0.0001
97,1.0628653356386633,None,0.0001
98,1.064729935924883,None,0.0001
99,1.064304564733267,1.612209513783455,0.0001
100,1.0619058604662197,None,0.0001
101,1.0611888726243772,1.5640254840254784,0.0001
102,1.0627971892981494,None,0.0001
103,1.0644968093769684,None,0.0001
104,1.0667053983792674,None,0.0001
105,1.0676023545738493,None,0.0001
106,1.0643497161008795,None,0.0001
107,1.0597945436281904,1.552586767822504,0.0001
108,1.0644460435979355,None,0.0001
109,1.0687479454629087,1.6526160836219788,0.0001
110,1.0583528822616175,1.6927921287715435,0.0001
111,1.0628307856795436,None,0.0001
112,1.0612968424137663,None,0.0001
113,1.0574920343354617,1.5706019178032875,0.0001
114,1.0598616329582056,None,0.0001
115,1.0574664075659546,1.6121043264865875,0.0001
116,1.0602817742426922,None,0.0001
117,1.0578131829380264,None,0.0001
118,1.0636127961559283,None,0.0001
119,1.0597838860440303,1.6141526214778423,0.0001
120,1.0653370595074922,None,0.0001
121,1.0586295869364921,None,0.0001
122,1.056542502948354,1.7890403717756271,0.0001
123,1.05779933135788,None,0.0001
124,1.0544810633736637,1.633594550192356,0.0001
125,1.0607165567702654,None,0.0001
126,1.059394502197062,None,0.0001
127,1.0574741251318942,None,0.0001
128,1.0547091690130446,None,0.0001
129,1.0559488633128133,1.509518712759018,0.0001
130,1.057668339135597,None,0.0001
131,1.061674740948764,None,0.0001
132,1.0535770324981348,1.537917036563158,0.0001
133,1.0571993681243108,None,0.0001
134,1.0545878841537306,None,0.0001
135,1.0589937708492136,None,0.0001
136,1.055655509495075,None,0.0001
137,1.0511474117163788,1.6656508818268776,0.0001
138,1.0552434220095086,None,0.0001
139,1.0581346365666566,1.622251596301794,0.0001
140,1.0529610787751624,None,0.0001
141,1.0571382826441933,None,0.0001
142,1.0530225444210293,None,0.0001
143,1.0535609806413027,None,0.0001
144,1.0518546113526797,None,0.0001
145,1.0530601294438313,None,0.0001
146,1.0573748449873555,None,0.0001
147,1.0529105869118704,None,0.0001
148,1.0520866391225734,None,0.0001
149,1.0525461030441068,1.5531699024140835,0.0001
