split_type,fold,train_loss,test_loss
split_by_vacancies,0,1.0438562056436151,1.0577435131150639
split_by_vacancies,1,1.0561670087985977,1.00661214203131
split_by_vacancies,2,1.0192645037941255,1.0685998214068966
split_by_vacancies,3,1.0295771347956897,1.1192754716486544
split_by_vacancies,4,1.0570610252710488,1.0051249954524457
split_by_compounds,0,1.035721329007575,1.1749454584975023
split_by_compounds,1,1.057636305803335,0.9468170560214338
split_by_compounds,2,1.0458229220900181,1.09046464127879
split_by_compounds,3,0.9975696222531397,1.1018564815356813
split_by_compounds,4,1.0529743933269613,1.0111391644504115
