split_type,fold,train_loss,test_loss
split_by_vacancies,0,0.5379404251459362,0.5766656883212572
split_by_vacancies,1,0.5975415883092343,0.6405769520900289
split_by_vacancies,2,0.5719704864491726,0.570479813412566
split_by_vacancies,3,0.564451673837392,0.6180682375624373
split_by_vacancies,4,0.5501919598384047,0.5533461801957764
split_by_compounds,0,0.5152906945310293,0.6293857593392154
split_by_compounds,1,0.5491831098103531,0.649483303687191
split_by_compounds,2,0.5092256047637076,0.49403272167328866
split_by_compounds,3,0.5969190573866611,0.744133445065597
split_by_compounds,4,0.5373306610668248,0.551088547739444
split_by_elements,Y,0.5418760776605243,0.637510473449384
split_by_elements,Ag,0.5712645797435744,1.0974258317335233
split_by_elements,Ti,0.5692273267786554,0.6471282641092936
split_by_elements,Hg,0.5719539412835498,1.994413338277651
split_by_elements,Co,0.5573412795937696,1.0277341339323256
split_by_elements,Be,0.5512077478463618,0.4969654650121302
split_by_elements,La,0.5709018155087817,0.9533947932072094
split_by_elements,Sc,0.5404810651268754,0.6091143828778227
split_by_elements,W,0.5784138012807978,0.5962559756947987
split_by_elements,Cs,0.5710663083990555,0.6513553314156585
split_by_elements,V,0.5708535668814602,0.8528238795106373
split_by_elements,Si,0.6149683135077818,0.36450975151354326
split_by_elements,Ta,0.5464557517918466,0.8672163630407939
split_by_elements,Cr,0.5831395371953512,0.967852022498846
split_by_elements,Ce,0.4789098489843737,1.511946343395808
split_by_elements,B,0.5816348656972413,1.5834311694768124
split_by_elements,Pb,0.6095256838226027,0.7757156295701861
split_by_elements,Sr,0.5335510971891138,0.6211666999752415
split_by_elements,Mg,0.6233776999262844,0.7522452819638136
split_by_elements,Zr,0.5585235719663033,0.8082231310655444
split_by_elements,Nb,0.564130207867954,0.5325788762055191
split_by_elements,Fe,0.5747135711489749,1.2559918371386498
split_by_elements,Ba,0.5503903442527134,0.9454662744111331
split_by_elements,Pt,0.5780353299736525,0.6123506784439087
split_by_elements,Zn,0.5509203820079732,0.997280803805623
split_by_elements,Bi,0.5555663496108858,0.879023164988839
split_by_elements,Na,0.5582809574482097,0.6983083185115373
split_by_elements,Ge,0.5759585755224151,0.624499477120794
split_by_elements,Pd,0.6062337336080691,1.1834637118237359
split_by_elements,Ga,0.5720016425790719,0.5241192825909319
split_by_elements,Rb,0.5941779174245013,1.3819300888211488
split_by_elements,Hf,0.5520026017279165,0.4070622520725222
split_by_elements,K,0.5472492573923267,0.5911238630757715
split_by_elements,Sn,0.5637643806441445,0.41207272538514894
split_by_elements,Tl,0.5596712317278684,1.1311211154001568
split_by_elements,Sb,0.6094126760168566,0.5224531453858985
split_by_elements,Au,0.5607313682163089,0.712375030373082
split_by_elements,Al,0.5743016956838045,0.7247575990855694
split_by_elements,Ni,0.5244971756534156,0.5167177700334125
split_by_elements,Mo,0.5964189831568331,0.7647309426603646
split_by_elements,Cu,0.541906982503036,1.1782037661625788
split_by_elements,Re,0.5411347986616633,0.9989604645587028
split_by_elements,Ca,0.5954519770914092,0.5893216389501862
split_by_elements,Mn,0.5311631395034035,1.3607169531640553
split_by_elements,Cd,0.5516212783464819,0.5224912551652013
split_by_elements,As,0.5564517821530875,1.2091415087888195
split_by_elements,Li,0.5803697639128389,0.719954707264121
split_by_elements,In,0.5542320165912883,0.9251224900941429
